name,rte_nm,begin_msr,end_msr
Bonbrook Mill(Rte 635)/Route 220,R-VA   US00220NB,43.769,43.586
Henry Road (Rte 605)/Route 220,R-VA   US00220SB,26.156,26.003
Lakemount Drive (Rte 1235)/Route 122,R-VA033SC01235NB,0.587,0.562
Harmony School Road (Rte 634)/Route 122,R-VA   SR00122NB,10.948,10.711
Iron Ridge Road (Rte 775)/Route 220,R-VA   US00220SB,44.742,44.27
Naff Road (Rte 605)/Route 220,,,
Brooks Mill (Rte 834)/Scruggs (Rte 616),R-VA033SC00616NB,7.682,7.534
Segment/Rte 834 from Rte 616 to Rte 670,R-VA033SC00834NB,10.69,7.791
Ped crossing Rt 122 at rt 616/Westlake Rd,R-VA   SR00122NB,13.485,13.484
Westlake Trail (UPC#112706),,,
Segment/Wirtz-Rte 697 to Westcott-Rte 930,R-VA   US00220NB,45.065,44.851
Ferrum Mtn (Rte 602)/Route 40,R-VA   SR00040EB,22.255,22.243
Sidewalks in Ferrum along Timberline/Rte 915,,,
Sidewalks in Ferrum along Fieldcrest/Rte805,,,
Sidewalks from Rte 805 to Dollar General Ent.,,,
Wirtz Road (Rte 697)/Route 122,R-VA   SR00122NB,5.968,6.059
Bluewater Dr (Rte 942)/Route 122,,,
Six Mile Post/Scuffling Hill (Rte 640 )/Route 40,,,
Segment/View Ln-Rte 1220 to Taylors-Rte 691,R-VA   US00220NB,47.204,47.403
Segment/IronRidgeRt775 to WooddaleRt 1055,R-VA   US00220NB,44.473,42.029
Segment/Rte619 from Rte1036 to Rte902,,,
Rte 220/Boones Mill town limits,R-VA   US00220NB,50.575,49.127
Rte 40/Fieldcrest (Rte 805),R-VA   SR00040EB,22.805,22.75
Rte 122/Angle Plantation (Rte 699),R-VA   SR00122NB,2.83,2.901
Brooks Mill (Rte 834)/Route 40,R-VA   SR00040EB,43.407,43.457
Rte 220/Bethlehem (Rte 739),R-VA   US00220NB,49.67,49.647
